T,Alt,Veloc,FAlt,FVeloc,LDA,LowV,Apogee,N-O,Drogue,Main
1.12,304.00,297.00,269.97,280.74,0,0,0,0,0,0
1.15,312.00,264.00,278.38,277.40,0,0,0,0,0,0
1.18,320.00,264.00,286.70,274.72,0,0,0,0,0,0
1.21,327.00,231.00,294.76,265.97,0,0,0,0,0,0
1.24,335.00,264.00,302.81,265.58,0,0,0,0,0,0
1.27,342.00,231.00,310.65,258.66,0,0,0,0,0,0
1.30,347.00,165.00,317.92,239.93,0,0,0,0,0,0
1.33,357.00,330.00,325.73,257.94,0,0,0,0,0,0
1.36,364.00,231.00,333.39,252.56,0,0,0,0,0,0
1.39,372.00,264.00,341.11,254.84,0,0,0,0,0,0
1.42,379.00,231.00,348.69,250.08,0,0,0,0,0,0
1.45,386.00,231.00,356.15,246.26,0,0,0,0,0,0
1.48,393.00,231.00,363.52,243.21,0,0,0,0,0,0
1.52,399.00,198.00,370.62,234.17,0,0,0,0,0,0
1.55,406.00,231.00,377.69,233.53,0,0,0,0,0,0
1.58,414.00,264.00,384.95,239.63,0,0,0,0,0,0
1.61,420.00,198.00,391.96,231.30,0,0,0,0,0,0
1.64,426.00,198.00,398.77,224.64,0,0,0,0,0,0
1.67,433.00,231.00,405.62,225.91,0,0,0,0,0,0
1.70,437.00,132.00,411.89,207.13,0,0,0,0,0,0
1.73,446.00,297.00,418.71,225.10,0,0,0,0,0,0
1.76,452.00,198.00,425.37,219.68,0,0,0,0,0,0
1.79,457.00,165.00,431.70,208.75,0,0,0,0,0,0
1.82,462.00,165.00,437.76,200.00,0,0,0,0,0,0
1.85,469.00,231.00,444.01,206.20,0,0,0,0,0,0
1.88,474.00,165.00,450.01,197.96,0,0,0,0,0,0
1.91,480.00,198.00,456.00,197.97,0,0,0,0,0,0
1.94,487.00,231.00,462.20,204.57,0,0,0,0,0,0
1.97,491.00,132.00,467.96,190.06,0,0,0,0,0,0
2.00,498.00,231.00,473.97,198.25,0,0,0,0,0,0
2.03,502.00,132.00,479.58,185.00,0,0,0,0,0,0
2.06,508.00,198.00,485.26,187.60,0,0,0,0,0,0
2.09,514.00,198.00,491.01,189.68,0,0,0,0,0,0
2.12,519.00,165.00,496.61,184.74,0,0,0,0,0,0
2.15,524.00,165.00,502.09,180.79,0,0,0,0,0,0
2.18,528.00,132.00,507.27,171.04,0,0,0,0,0,0
2.21,533.00,165.00,512.41,169.83,0,0,0,0,0,0
2.24,537.00,132.00,517.33,162.26,0,0,0,0,0,0
2.27,541.00,132.00,522.07,156.21,0,0,0,0,0,0
2.30,546.00,165.00,526.85,157.97,0,0,0,0,0,0
2.33,551.00,165.00,531.68,159.37,0,0,0,0,0,0
2.36,555.00,132.00,536.35,153.90,0,0,0,0,0,0
2.39,560.00,165.00,541.08,156.12,0,0,0,0,0,0
2.42,564.00,132.00,545.66,151.30,0,0,0,0,0,0
2.45,569.00,165.00,550.33,154.04,0,0,0,0,0,0
2.48,573.00,132.00,554.86,149.63,0,0,0,0,0,0
2.52,577.00,132.00,559.29,146.10,0,0,0,0,0,0
2.55,581.00,132.00,563.63,143.28,0,0,0,0,0,0
2.58,585.00,132.00,567.91,141.03,0,0,0,0,0,0
2.61,588.00,99.00,571.92,132.62,0,0,0,0,0,0
2.64,592.00,132.00,575.94,132.50,0,0,0,0,0,0
2.67,596.00,132.00,579.95,132.40,0,0,0,0,0,0
2.70,599.00,99.00,583.76,125.72,0,0,0,0,0,0
2.73,603.00,132.00,587.61,126.97,0,0,0,0,0,0
2.76,605.00,66.00,591.09,114.78,0,0,0,0,0,0
2.79,610.00,165.00,594.87,124.82,0,0,0,0,0,0
2.82,612.00,66.00,598.30,113.06,0,0,0,0,0,0
2.85,616.00,132.00,601.84,116.85,0,0,0,0,0,0
2.88,618.00,66.00,605.07,106.68,0,0,0,0,0,0
2.91,622.00,132.00,608.46,111.74,0,0,0,0,0,0
2.94,624.00,66.00,611.56,102.59,0,0,0,0,0,0
2.97,628.00,132.00,614.85,108.47,0,0,0,0,0,0
3.00,630.00,66.00,617.88,99.98,0,0,0,0,0,0
3.03,632.00,66.00,620.70,93.18,0,0,0,0,0,0
3.06,634.00,66.00,623.36,87.75,0,0,0,0,0,0
3.09,638.00,132.00,626.29,96.60,0,0,0,0,0,0
3.12,640.00,66.00,629.03,90.48,0,0,0,0,0,0
3.15,642.00,66.00,631.63,85.58,0,0,0,0,0,0
3.18,645.00,99.00,634.30,88.27,0,0,0,0,0,0
3.21,647.00,66.00,636.84,83.81,0,0,0,0,0,0
3.24,651.00,132.00,639.67,93.45,0,0,0,0,0,0
3.27,652.00,33.00,642.14,81.36,0,0,0,0,0,0
3.30,654.00,66.00,644.51,78.29,0,0,0,0,0,0
3.33,656.00,66.00,646.81,75.83,0,0,0,0,0,0
3.36,658.00,66.00,649.05,73.86,0,0,0,0,0,0
3.39,660.00,66.00,651.24,72.29,0,0,0,0,0,0
3.42,660.00,0.00,652.99,57.83,0,0,0,0,0,0
3.45,662.00,66.00,654.79,59.47,0,0,0,0,0,0
3.48,663.00,33.00,656.43,54.17,0,0,0,0,0,0
3.52,665.00,66.00,658.15,56.54,0,0,0,0,0,0
3.55,666.00,33.00,659.72,51.83,0,0,0,0,0,0
3.58,666.00,0.00,660.97,41.47,0,0,0,0,0,0
3.61,669.00,99.00,662.58,52.97,0,0,0,0,0,0
3.64,670.00,33.00,664.06,48.98,0,0,0,0,0,0
3.67,670.00,0.00,665.25,39.18,0,0,0,0,0,0
3.70,672.00,66.00,666.60,44.55,0,0,0,0,0,0
3.73,672.00,0.00,667.68,35.64,0,0,0,0,0,0
3.76,672.00,0.00,668.54,28.51,0,0,0,0,0,0
3.79,673.00,33.00,669.44,29.41,0,0,0,0,0,0
3.82,674.00,33.00,670.35,30.13,0,0,0,0,0,0
3.85,674.00,0.00,671.08,24.10,0,0,0,0,0,0
3.88,675.00,33.00,671.86,25.88,0,0,0,0,0,0
3.91,677.00,66.00,672.89,33.90,0,0,0,0,0,0
3.94,675.00,-66.00,673.31,13.92,0,0,0,0,0,0
3.97,677.00,66.00,674.05,24.34,0,677,0,0,0,0
4.00,677.00,0.00,674.64,19.47,0,0,0,0,0,0
4.03,677.00,0.00,675.11,15.58,0,0,0,0,0,0
4.06,676.00,-33.00,675.29,5.86,0,0,0,0,0,0
4.09,677.00,33.00,675.63,11.29,0,0,0,0,0,0
4.12,677.00,0.00,675.91,9.03,0,0,0,0,0,0
4.15,678.00,33.00,676.32,13.83,0,0,678,0,0,0
4.18,677.00,-33.00,676.46,4.46,0,0,0,0,0,0
4.21,677.00,0.00,676.57,3.57,0,0,0,0,0,0
4.24,678.00,33.00,676.85,9.45,0,0,0,0,0,0
4.27,676.00,-66.00,676.68,-5.64,0,0,0,0,0,0
4.30,676.00,0.00,676.55,-4.51,0,0,0,0,0,0
4.33,675.00,-33.00,676.24,-10.21,0,0,0,0,0,0
4.36,675.00,0.00,675.99,-8.17,0,0,0,0,0,0
4.39,676.00,33.00,675.99,0.07,0,0,0,0,0,0
4.42,675.00,-33.00,675.79,-6.55,0,0,0,0,0,0
4.45,675.00,0.00,675.63,-5.24,0,0,0,0,0,0
4.48,673.00,-66.00,675.11,-17.39,0,0,0,0,0,0
4.52,672.00,-33.00,674.49,-20.51,0,0,0,0,0,0
4.55,672.00,0.00,673.99,-16.41,0,0,0,0,0,0
4.58,671.00,-33.00,673.39,-19.73,0,0,0,0,0,0
4.61,671.00,0.00,672.91,-15.78,0,0,0,0,0,0
4.64,670.00,-33.00,672.33,-19.23,0,0,0,0,0,0
4.67,669.00,-33.00,671.66,-21.98,0,0,0,0,0,0
4.70,667.00,-66.00,670.73,-30.78,0,0,0,0,0,0
4.73,665.00,-66.00,669.59,-37.83,0,0,0,0,0,0
4.76,666.00,33.00,668.87,-23.66,0,0,0,0,0,0
4.79,664.00,-66.00,667.89,-32.13,0,0,0,0,0,0
4.82,664.00,0.00,667.12,-25.70,0,0,0,0,0,0
4.85,662.00,-66.00,666.09,-33.76,0,0,0,0,0,0
4.88,662.00,0.00,665.27,-27.01,0,0,0,0,0,0
4.91,660.00,-66.00,664.22,-34.81,0,0,0,660,0,660
5.01,658.00,-20.00,662.98,-12.44,0,0,0,0,0,0
5.11,655.00,-30.00,661.38,-15.95,0,0,0,0,655,0
5.21,653.00,-20.00,659.70,-16.76,0,0,0,0,0,0
5.31,648.00,-50.00,657.36,-23.41,0,0,0,0,0,0
5.41,644.00,-40.00,654.69,-26.73,0,0,0,0,0,0
5.51,639.00,-50.00,651.55,-31.38,0,0,0,0,0,0
5.61,633.00,-60.00,647.84,-37.11,0,0,0,0,0,0
5.71,616.00,-170.00,641.47,-63.68,0,0,0,0,0,0
5.81,616.00,0.00,636.38,-50.95,0,0,0,0,0,0
5.91,607.00,-90.00,630.50,-58.76,0,0,0,0,0,0
6.01,596.00,-110.00,623.60,-69.01,0,0,0,0,0,0
6.11,581.00,-150.00,615.08,-85.21,0,0,0,0,0,0
6.21,568.00,-130.00,605.67,-94.16,0,0,0,0,0,0
6.31,520.00,-480.00,588.53,-171.33,0,0,0,0,0,0
6.41,541.00,210.00,579.03,-95.07,0,0,0,0,0,0
6.51,577.00,360.00,578.62,-4.05,0,0,0,0,0,0
6.61,573.00,-40.00,577.50,-11.24,0,0,0,0,0,0
6.71,544.00,-290.00,570.80,-66.99,0,0,0,0,0,0
6.81,530.00,-140.00,562.64,-81.59,0,0,0,0,0,0
6.91,528.00,-20.00,555.71,-69.28,0,0,0,0,0,0
7.01,522.00,-60.00,548.97,-67.42,0,0,0,0,0,0
7.11,521.00,-10.00,543.37,-55.94,0,0,0,0,0,0
7.21,518.00,-30.00,538.30,-50.75,0,0,0,0,0,0
7.31,515.00,-30.00,533.64,-46.60,0,0,0,0,0,0
7.41,511.00,-40.00,529.11,-45.28,0,0,0,0,0,0
7.51,508.00,-30.00,524.89,-42.22,0,0,0,0,0,0
7.61,506.00,-20.00,521.11,-37.78,0,0,0,0,0,0
7.71,504.00,-20.00,517.69,-34.22,0,0,0,0,0,0
7.81,501.00,-30.00,514.35,-33.38,0,0,0,0,0,0
7.91,497.00,-40.00,510.88,-34.70,0,0,0,0,0,0
8.01,495.00,-20.00,507.70,-31.76,0,0,0,0,0,0
8.11,493.00,-20.00,504.76,-29.41,0,0,0,0,0,0
8.21,490.00,-30.00,501.81,-29.53,0,0,0,0,0,0
8.31,488.00,-20.00,499.05,-27.62,0,0,0,0,0,0
8.41,488.00,0.00,496.84,-22.10,0,0,0,0,0,0
8.51,484.00,-40.00,494.27,-25.68,0,0,0,0,0,0
8.61,481.00,-30.00,491.62,-26.54,0,0,0,0,0,0
8.71,479.00,-20.00,489.09,-25.23,0,0,0,0,0,0
8.81,477.00,-20.00,486.67,-24.19,0,0,0,0,0,0
8.91,474.00,-30.00,484.14,-25.35,0,0,0,0,0,0
9.01,471.00,-30.00,481.51,-26.28,0,0,0,0,0,0
9.11,470.00,-10.00,479.21,-23.02,0,0,0,0,0,0
9.21,468.00,-20.00,476.97,-22.42,0,0,0,0,0,0
9.31,464.00,-40.00,474.37,-25.94,0,0,0,0,0,0
9.41,461.00,-30.00,471.70,-26.75,0,0,0,0,0,0
9.51,458.00,-30.00,468.96,-27.40,0,0,0,0,0,0
9.61,456.00,-20.00,466.37,-25.92,0,0,0,0,0,0
9.71,453.00,-30.00,463.69,-26.73,0,0,0,0,0,0
9.81,451.00,-20.00,461.16,-25.39,0,0,0,0,0,0
9.91,449.00,-20.00,458.72,-24.31,0,0,0,0,0,0
10.01,446.00,-30.00,456.18,-25.45,0,0,0,0,0,0
10.11,443.00,-30.00,453.54,-26.36,0,0,0,0,0,0
10.21,440.00,-30.00,450.83,-27.09,0,0,0,0,0,0
10.31,439.00,-10.00,448.47,-23.67,0,0,0,0,0,0
10.41,436.00,-30.00,445.97,-24.94,0,0,0,0,0,0
10.51,435.00,-10.00,443.78,-21.95,0,0,0,0,0,0
10.61,431.00,-40.00,441.22,-25.56,0,0,0,0,0,0
10.71,428.00,-30.00,438.58,-26.45,0,0,0,0,0,0
10.81,424.00,-40.00,435.66,-29.16,0,0,0,0,0,0
10.91,422.00,-20.00,432.93,-27.33,0,0,0,0,0,0
11.01,419.00,-30.00,430.14,-27.86,0,0,0,0,0,0
11.11,417.00,-20.00,427.52,-26.29,0,0,0,0,0,0
11.21,416.00,-10.00,425.21,-23.03,0,0,0,0,0,0
11.31,410.00,-60.00,422.17,-30.42,0,0,0,0,0,0
11.41,408.00,-20.00,419.34,-28.34,0,0,0,0,0,0
11.51,405.00,-30.00,416.47,-28.67,0,0,0,0,0,0
11.61,403.00,-20.00,413.77,-26.94,0,0,0,0,0,0
11.71,401.00,-20.00,411.22,-25.55,0,0,0,0,0,0
11.81,398.00,-30.00,408.58,-26.44,0,0,0,0,0,0
11.91,396.00,-20.00,406.06,-25.15,0,0,0,0,0,0
12.01,392.00,-40.00,403.25,-28.12,0,0,0,0,0,0
12.11,390.00,-20.00,400.60,-26.50,0,0,0,0,0,0
12.21,386.00,-40.00,397.68,-29.20,0,0,0,0,0,0
12.31,384.00,-20.00,394.94,-27.36,0,0,0,0,0,0
12.41,382.00,-20.00,392.35,-25.89,0,0,0,0,0,0
12.51,379.00,-30.00,389.68,-26.71,0,0,0,0,0,0
12.61,376.00,-30.00,386.95,-27.37,0,0,0,0,0,0
12.71,374.00,-20.00,384.36,-25.89,0,0,0,0,0,0
12.81,371.00,-30.00,381.69,-26.72,0,0,0,0,0,0
12.91,369.00,-20.00,379.15,-25.37,0,0,0,0,0,0
13.01,366.00,-30.00,376.52,-26.30,0,0,0,0,0,0
13.11,364.00,-20.00,374.02,-25.04,0,0,0,0,0,0
13.21,361.00,-30.00,371.41,-26.03,0,0,0,0,0,0
13.31,358.00,-30.00,368.73,-26.82,0,0,0,0,0,0
13.41,356.00,-20.00,366.18,-25.46,0,0,0,0,0,0
13.51,353.00,-30.00,363.55,-26.37,0,0,0,0,0,0
13.61,351.00,-20.00,361.04,-25.09,0,0,0,0,0,0
13.71,347.00,-40.00,358.23,-28.08,0,0,0,0,0,0
13.81,346.00,-10.00,355.78,-24.46,0,0,0,0,0,0
13.91,343.00,-30.00,353.23,-25.57,0,0,0,0,0,0
14.01,339.00,-40.00,350.38,-28.45,0,0,0,0,0,0
14.11,335.00,-40.00,347.31,-30.76,0,0,0,0,0,0
14.21,334.00,-10.00,344.64,-26.61,0,0,0,0,0,0
14.31,331.00,-30.00,341.92,-27.29,0,0,0,0,0,0
14.41,328.00,-30.00,339.13,-27.83,0,0,0,0,0,0
14.51,326.00,-20.00,336.51,-26.26,0,0,0,0,0,0
14.61,324.00,-20.00,334.00,-25.01,0,0,0,0,0,0
14.71,323.00,-10.00,331.80,-22.01,0,0,0,0,0,0
14.81,318.00,-50.00,329.04,-27.61,0,0,0,0,0,0
14.91,314.00,-40.00,326.03,-30.09,0,0,0,0,0,0
15.01,312.00,-20.00,323.23,-28.07,0,0,0,0,0,0
15.11,309.00,-30.00,320.38,-28.46,0,0,0,0,0,0
15.21,308.00,-10.00,317.91,-24.76,0,0,0,0,0,0
15.31,304.00,-40.00,315.12,-27.81,0,0,0,0,0,0
15.41,302.00,-20.00,312.50,-26.25,0,0,0,0,0,0
15.51,300.00,-20.00,310.00,-25.00,0,0,0,0,0,0
15.61,297.00,-30.00,307.40,-26.00,0,0,0,0,0,0
15.71,293.00,-40.00,304.52,-28.80,0,0,0,0,0,0
15.81,292.00,-10.00,302.02,-25.04,0,0,0,0,0,0
15.91,290.00,-20.00,299.61,-24.03,0,0,0,0,0,0
16.01,287.00,-30.00,297.09,-25.23,0,0,0,0,0,0
16.11,286.00,-10.00,294.87,-22.18,0,0,0,0,0,0
16.21,281.00,-50.00,292.10,-27.74,0,0,0,0,0,0
16.31,277.00,-40.00,289.08,-30.20,0,0,0,0,0,0
16.41,277.00,0.00,286.66,-24.16,0,0,0,0,0,0
16.51,274.00,-30.00,284.13,-25.33,0,0,0,0,0,0
16.61,271.00,-30.00,281.50,-26.26,0,0,0,0,0,0
16.71,270.00,-10.00,279.20,-23.01,0,0,0,0,0,0
16.81,267.00,-30.00,276.76,-24.41,0,0,0,0,0,0
16.91,264.00,-30.00,274.21,-25.53,0,0,0,0,0,0
17.01,263.00,-10.00,271.97,-22.42,0,0,0,0,0,0
17.11,259.00,-40.00,269.37,-25.94,0,0,0,0,0,0
17.21,258.00,-10.00,267.10,-22.75,0,0,0,0,0,0
17.31,254.00,-40.00,264.48,-26.20,0,0,0,0,0,0
17.41,251.00,-30.00,261.78,-26.96,0,0,0,0,0,0
17.51,248.00,-30.00,259.03,-27.57,0,0,0,0,0,0
17.61,246.00,-20.00,256.42,-26.05,0,0,0,0,0,0
17.71,243.00,-30.00,253.74,-26.84,0,0,0,0,0,0
17.81,242.00,-10.00,251.39,-23.47,0,0,0,0,0,0
17.91,240.00,-20.00,249.11,-22.78,0,0,0,0,0,0
18.01,236.00,-40.00,246.49,-26.22,0,0,0,0,0,0
18.11,234.00,-20.00,243.99,-24.98,0,0,0,0,0,0
18.21,232.00,-20.00,241.59,-23.98,0,0,0,0,0,0
18.31,229.00,-30.00,239.07,-25.19,0,0,0,0,0,0
18.41,227.00,-20.00,236.66,-24.15,0,0,0,0,0,0
18.51,224.00,-30.00,234.13,-25.32,0,0,0,0,0,0
18.61,223.00,-10.00,231.90,-22.26,0,0,0,0,0,0
18.71,220.00,-30.00,229.52,-23.80,0,0,0,0,0,0
18.81,218.00,-20.00,227.22,-23.04,0,0,0,0,0,0
18.91,215.00,-30.00,224.77,-24.43,0,0,0,0,0,0
19.01,211.00,-40.00,222.02,-27.55,0,0,0,0,0,0
19.11,209.00,-20.00,219.42,-26.04,0,0,0,0,0,0
19.21,207.00,-20.00,216.93,-24.83,0,0,0,0,0,0
19.31,208.00,10.00,215.15,-17.86,0,0,0,0,0,0
19.41,203.00,-50.00,212.72,-24.29,0,0,0,0,0,0
19.51,201.00,-20.00,210.37,-23.43,0,0,0,0,0,0
19.61,198.00,-30.00,207.90,-24.75,0,0,0,0,0,0
19.71,196.00,-20.00,205.52,-23.80,0,0,0,0,0,0
19.81,193.00,-30.00,203.02,-25.04,0,0,0,0,0,0
19.91,191.00,-20.00,200.61,-24.03,0,0,0,0,0,0
20.01,190.00,-10.00,198.49,-21.22,0,0,0,0,0,0
20.11,186.00,-40.00,195.99,-24.98,0,0,0,0,0,0
20.21,183.00,-30.00,193.39,-25.98,0,0,0,0,0,0
20.31,181.00,-20.00,190.91,-24.79,0,0,0,0,0,0
20.41,179.00,-20.00,188.53,-23.83,0,0,0,0,0,0
20.51,175.00,-40.00,185.83,-27.06,0,0,0,0,0,0
20.61,174.00,-10.00,183.46,-23.65,0,0,0,0,0,0
20.71,171.00,-30.00,180.97,-24.92,0,0,0,0,0,0
20.81,170.00,-10.00,178.77,-21.94,0,0,0,0,0,0
20.91,168.00,-20.00,176.62,-21.55,0,0,0,0,0,0
21.01,164.00,-40.00,174.10,-25.24,0,0,0,0,0,0
21.11,162.00,-20.00,171.68,-24.19,0,0,0,0,0,0
21.21,160.00,-20.00,169.34,-23.35,0,0,0,0,0,0
21.31,158.00,-20.00,167.07,-22.68,0,0,0,0,0,0
21.41,155.00,-30.00,164.66,-24.15,0,0,0,0,0,0
21.51,153.00,-20.00,162.33,-23.32,0,0,0,0,0,0
21.61,150.00,-30.00,159.86,-24.65,0,0,0,0,0,0
21.71,149.00,-10.00,157.69,-21.72,0,0,0,0,0,0
21.81,146.00,-30.00,155.35,-23.38,0,0,0,0,0,0
21.91,143.00,-30.00,152.88,-24.70,0,0,0,0,0,0
22.01,140.00,-30.00,150.30,-25.76,0,0,0,0,0,0
22.11,138.00,-20.00,147.84,-24.61,0,0,0,0,0,0
22.21,136.00,-20.00,145.48,-23.69,0,0,0,0,0,0
22.31,134.00,-20.00,143.18,-22.95,0,0,0,0,0,0
22.41,131.00,-30.00,140.74,-24.36,0,0,0,0,0,0
22.51,128.00,-30.00,138.20,-25.49,0,0,0,0,0,0
22.61,125.00,-30.00,135.56,-26.39,0,0,0,0,0,0
22.71,124.00,-10.00,133.24,-23.11,0,0,0,0,0,0
22.81,122.00,-20.00,131.00,-22.49,0,0,0,0,0,0
22.91,119.00,-30.00,128.60,-23.99,0,0,0,0,0,0
23.01,116.00,-30.00,126.08,-25.19,0,0,0,0,0,0
23.11,114.00,-20.00,123.66,-24.15,0,0,0,0,0,0
23.21,111.00,-30.00,121.13,-25.32,0,0,0,0,0,0
23.31,109.00,-20.00,118.70,-24.26,0,0,0,0,0,0
23.41,108.00,-10.00,116.56,-21.41,0,0,0,0,0,0
23.51,103.00,-50.00,113.85,-27.13,0,0,0,0,0,0
23.61,100.00,-30.00,111.08,-27.70,0,0,0,0,0,0
23.71,99.00,-10.00,108.66,-24.16,0,0,0,0,0,0
23.81,97.00,-20.00,106.33,-23.33,0,0,0,0,0,0
23.91,94.00,-30.00,103.87,-24.66,0,0,0,0,0,0
24.01,92.00,-20.00,101.49,-23.73,0,0,0,0,0,0
24.11,89.00,-30.00,98.99,-24.98,0,0,0,0,0,0
24.21,87.00,-20.00,96.59,-23.99,0,0,0,0,0,0
24.31,84.00,-30.00,94.08,-25.19,0,0,0,0,0,0
24.41,82.00,-20.00,91.66,-24.15,0,0,0,0,0,0
24.51,79.00,-30.00,89.13,-25.32,0,0,0,0,0,0
24.61,78.00,-10.00,86.90,-22.26,0,0,0,0,0,0
24.71,76.00,-20.00,84.72,-21.81,0,0,0,0,0,0
24.81,71.00,-50.00,81.98,-27.44,0,0,0,0,0,0
24.91,69.00,-20.00,79.38,-25.96,0,0,0,0,0,0
25.01,67.00,-20.00,76.91,-24.76,0,0,0,0,0,0
25.11,65.00,-20.00,74.52,-23.81,0,0,0,0,0,0
25.21,62.00,-30.00,72.02,-25.05,0,0,0,0,0,0
25.31,59.00,-30.00,69.42,-26.04,0,0,0,0,0,0
25.41,59.00,0.00,67.33,-20.83,0,0,0,0,0,0
25.51,55.00,-40.00,64.87,-24.67,0,0,0,0,0,0
25.61,53.00,-20.00,62.49,-23.73,0,0,0,0,0,0
25.71,54.00,10.00,60.79,-16.99,0,0,0,0,0,0
25.81,50.00,-40.00,58.64,-21.59,0,0,0,0,0,0
25.91,46.00,-40.00,56.11,-25.27,0,0,0,0,0,0
26.01,44.00,-20.00,53.69,-24.22,0,0,0,0,0,0
26.11,42.00,-20.00,51.35,-23.37,0,0,0,0,0,0
26.21,40.00,-20.00,49.08,-22.70,0,0,0,0,0,0
26.31,37.00,-30.00,46.66,-24.16,0,0,0,0,0,0
26.41,35.00,-20.00,44.33,-23.33,0,0,0,0,0,0
26.51,33.00,-20.00,42.06,-22.66,0,0,0,0,0,0
26.61,31.00,-20.00,39.85,-22.13,0,0,0,0,0,0
26.71,27.00,-40.00,37.28,-25.70,0,0,0,0,0,0
26.81,26.00,-10.00,35.03,-22.56,0,0,0,0,0,0
26.91,23.00,-30.00,32.62,-24.05,0,0,0,0,0,0
27.01,21.00,-20.00,30.30,-23.24,0,0,0,0,0,0
27.11,19.00,-20.00,28.04,-22.59,0,0,0,0,0,0
27.21,16.00,-30.00,25.63,-24.07,0,0,0,0,0,0
27.31,14.00,-20.00,23.30,-23.26,0,0,0,0,0,0
27.41,12.00,-20.00,21.04,-22.61,0,0,0,0,0,0
27.51,10.00,-20.00,18.83,-22.09,0,0,0,0,0,0
27.61,6.00,-40.00,16.27,-25.67,0,0,0,0,0,0
27.71,4.00,-20.00,13.81,-24.53,0,0,0,0,0,0
